instancia, selectionSort, mergeSort
1024, 0.091616737, 0.004173452
1024, 0.02258373, 3.49246E-4
1024, 0.004188414, 2.31697E-4
1024, 0.001570994, 2.45917E-4
1024, 0.002474274, 4.65615E-4
1024, 0.002901225, 3.69167E-4
1024, 0.002882529, 3.48438E-4
1024, 0.002914698, 3.17518E-4
1024, 0.002895184, 3.31831E-4
1024, 0.002929256, 3.50566E-4
1024, 0.002731277, 3.55996E-4
1024, 0.002849721, 3.31512E-4
1024, 0.002852078, 3.27635E-4
1024, 0.00273608, 3.13684E-4
1024, 0.002779642, 3.39028E-4
1024, 0.002702533, 3.25116E-4
1024, 0.002255423, 2.83393E-4
1024, 0.002806524, 3.13117E-4
1024, 0.001680776, 3.25537E-4
1024, 0.0018329, 2.07395E-4
1024, 0.001539192, 2.06561E-4
1024, 0.002149276, 2.26739E-4
1024, 0.00192563, 2.73299E-4
1024, 0.002125931, 2.91548E-4
1024, 0.001944847, 2.16946E-4
1024, 0.001749498, 2.34401E-4
1024, 0.001425104, 1.77467E-4
1024, 0.001765959, 2.61546E-4
1024, 0.00242978, 2.87075E-4
1024, 0.002657953, 3.06193E-4
1024, 0.001469248, 2.13814E-4
1024, 0.002003423, 2.9849E-4
1024, 0.002035321, 2.82271E-4
1024, 0.001820971, 3.15299E-4
1024, 0.002567931, 3.02327E-4
1024, 0.001840382, 2.8594E-4
1024, 0.001522968, 1.9359E-4
1024, 0.001525994, 2.14757E-4
1024, 0.002094659, 2.81514E-4
1024, 0.002257732, 2.48662E-4
1024, 0.002143406, 2.26221E-4
1024, 0.001592702, 2.27406E-4
1024, 0.00146515, 2.11634E-4
1024, 0.001371698, 1.61732E-4
1024, 0.001736379, 1.69121E-4
1024, 0.001988859, 2.04402E-4
1024, 0.001591105, 1.78268E-4
1024, 0.001498666, 1.99724E-4
1024, 0.002349942, 3.42066E-4
1024, 0.001599726, 2.29607E-4
1024, 0.001724252, 3.02847E-4
1024, 0.001615377, 2.08018E-4
1024, 0.00177329, 2.4061E-4
1024, 0.001523667, 2.05351E-4
1024, 0.002105093, 3.20609E-4
1024, 0.002139787, 3.66495E-4
1024, 0.002602571, 2.63693E-4
1024, 0.001620383, 2.13389E-4
1024, 0.002527715, 3.16791E-4
1024, 0.002781412, 3.1972E-4
1024, 0.002784884, 3.51139E-4
1024, 0.002342427, 3.9337E-4
1024, 0.00185747, 2.27599E-4
1024, 0.001676628, 3.14232E-4
1024, 0.002132241, 2.85737E-4
1024, 0.002266676, 3.08015E-4
1024, 0.00224204, 3.09637E-4
1024, 0.001690199, 3.48592E-4
1024, 0.002770671, 2.7803E-4
1024, 0.002597939, 3.32496E-4
1024, 0.002620541, 3.10226E-4
1024, 0.002148317, 2.49095E-4
1024, 0.002667731, 2.93872E-4
1024, 0.002934207, 3.15988E-4
1024, 0.002836627, 3.40862E-4
1024, 0.001960674, 3.01192E-4
1024, 0.002414787, 3.20744E-4
1024, 0.002425304, 3.28073E-4
1024, 0.002335916, 3.8788E-4
1024, 0.001608536, 3.07979E-4
1024, 0.002709114, 3.71251E-4
1024, 0.002678031, 3.13575E-4
1024, 0.002331617, 2.77119E-4
1024, 0.002310953, 3.75767E-4
1024, 0.002828653, 3.08821E-4
1024, 0.002131462, 2.78147E-4
1024, 0.002109869, 2.72912E-4
1024, 0.00163503, 2.21919E-4
1024, 0.002201545, 2.72674E-4
1024, 0.002744082, 3.09821E-4
1024, 0.002347377, 2.86667E-4
1024, 0.002454035, 3.21787E-4
1024, 0.0028687, 3.33244E-4
1024, 0.002645077, 3.32127E-4
1024, 0.002815811, 2.50192E-4
1024, 0.002612386, 4.87563E-4
1024, 0.002424727, 2.02055E-4
1024, 0.001691006, 2.35897E-4
1024, 0.001704233, 1.92587E-4
1024, 0.001826344, 2.6936E-4
2048, 0.006513791, 4.34905E-4
2048, 0.006849606, 5.28299E-4
2048, 0.00994085, 6.55692E-4
2048, 0.009957855, 5.96443E-4
2048, 0.009782469, 6.43022E-4
2048, 0.009539704, 6.85336E-4
2048, 0.008104944, 4.82301E-4
2048, 0.008454829, 6.53576E-4
2048, 0.008729278, 6.01667E-4
2048, 0.009555191, 4.44302E-4
2048, 0.007387705, 5.31294E-4
2048, 0.006567433, 4.01319E-4
2048, 0.00717185, 5.3275E-4
2048, 0.009271808, 5.95488E-4
2048, 0.009886226, 5.85006E-4
2048, 0.009234754, 7.15287E-4
2048, 0.010707393, 6.67604E-4
2048, 0.010729706, 7.19346E-4
2048, 0.009969122, 5.04967E-4
2048, 0.009370368, 6.53449E-4
2048, 0.008792716, 6.14304E-4
2048, 0.009614252, 6.33946E-4
2048, 0.00988572, 5.42899E-4
2048, 0.009413672, 6.08742E-4
